"chr","startwin","endwin","Nb_SNPs_Win","Prop_Win_Total","NbSNPWinPvalueInf05","NbSNPWinPvalueInf01","NbSNPWinPvalueInf001","SNPswithoutpvalues","PropSNPWinPvalueInf05","PropSNPWinPvalueInf01","PropSNPWinPvalueInf001"
0,1,1e+06,213,0.00467238467106851,14,6,1,9,0.0686274509803922,0.0294117647058824,0.00490196078431373
0,1000001,2e+06,198,0.0043433434970496,19,5,1,3,0.0974358974358974,0.0256410256410256,0.00512820512820513
0,2000001,3e+06,89,0.00195231096584553,12,1,0,5,0.142857142857143,0.0119047619047619,0
0,3000001,4e+06,33,0.0007238905828416,2,0,0,1,0.0625,0,0
0,4000001,5e+06,75,0.00164520587009454,8,3,0,6,0.115942028985507,0.0434782608695652,0
0,5000001,6e+06,28,0.000614210191501963,2,1,0,1,0.0740740740740741,0.037037037037037,0
0,6000001,7e+06,46,0.00100905960032465,3,1,0,1,0.0666666666666667,0.0222222222222222,0
0,7000001,8e+06,18,0.000394849408822691,1,1,0,1,0.0588235294117647,0.0588235294117647,0
0,8000001,9e+06,40,0.00087744313071709,1,1,0,6,0.0294117647058824,0.0294117647058824,0
0,9000001,1e+07,53,0.00116261214820014,4,2,0,6,0.0851063829787234,0.0425531914893617,0
0,10000001,1.1e+07,97,0.00212779959198894,5,3,1,5,0.0543478260869565,0.0326086956521739,0.0108695652173913
0,11000001,1.2e+07,98,0.00214973567025687,8,4,3,8,0.0888888888888889,0.0444444444444444,0.0333333333333333
0,12000001,1.3e+07,35,0.000767762739377454,0,0,0,3,0,0,0
0,13000001,1.4e+07,76,0.00166714194836247,4,3,1,4,0.0555555555555556,0.0416666666666667,0.0138888888888889
0,14000001,1.5e+07,42,0.000921315287252945,1,1,1,4,0.0263157894736842,0.0263157894736842,0.0263157894736842
0,15000001,1.6e+07,41,0.000899379208985018,5,1,1,4,0.135135135135135,0.027027027027027,0.027027027027027
0,16000001,1.7e+07,41,0.000899379208985018,4,2,0,6,0.114285714285714,0.0571428571428571,0
0,17000001,1.8e+07,55,0.001206484304736,2,1,0,6,0.0408163265306122,0.0204081632653061,0
0,18000001,1.9e+07,106,0.00232522429640029,6,2,0,12,0.0638297872340425,0.0212765957446809,0
0,19000001,2e+07,21,0.000460657643626472,0,0,0,2,0,0,0
0,20000001,2.1e+07,59,0.00129422861780771,1,0,0,6,0.0188679245283019,0,0
